"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX2024118","GSM2279829: (delta) mbaI strain grown to stationary phase without signal added, bio rep2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618548","","874.58","1","25130076","1281633876","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2024117","GSM2279828: (delta) mbaI strain grown to stationary phase without signal added, bio rep1; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618547","","850.05","1","24272293","1237886943","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2024116","GSM2279827: (delta) mbaI strain grown to log phase with 1 uM 3-OH-C10-HSL signal added, bio rep2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618546","","877.96","1","25263002","1288413102","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2024115","GSM2279826: (delta) mbaI strain grown to log phase with 1 uM 3-OH-C10-HSL signal added, bio rep1; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618545","","950.09","1","27393311","1397058861","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2024114","GSM2279825: (delta) mbaI strain grown to log phase without signal added, bio rep2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618544","","851.71","1","24544490","1251768990","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2024113","GSM2279824: (delta) mbaI strain grown to log phase without signal added, bio rep1; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618543","","849.08","1","24429752","1245917352","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1971486","Methylobacter luteus IMV-B-3098","Methylobacter luteus IMV-B-3098","Illumina HiSeq 2000","JGI","SRP079390","Methylobacter luteus IMV-B-3098 Genome sequencing and assembly","SRS1580227","","2316.97","1","12055863","3616758900","IGWB","WGS","GENOMIC","RANDOM"
"SRX1971485","Methylobacter luteus IMV-B-3098","Methylobacter luteus IMV-B-3098","Illumina HiSeq 2000","JGI","SRP079390","Methylobacter luteus IMV-B-3098 Genome sequencing and assembly","SRS1580227","","2496.89","1","13186720","3956016000","IGXF","WGS","GENOMIC","size fractionation"
"SRX1971206","Methylosarcina fibrata AMLC10T","Methylosarcina fibrata AML-C10","Illumina HiSeq 2000","JGI","SRP079384","Methylosarcina fibrata AML-C10 Genome sequencing and assembly","SRS1580007","","1493.14","1","11120840","2224168000","IOIS","WGS","GENOMIC","size fractionation"
"SRX1971205","Methylosarcina fibrata AMLC10T","Methylosarcina fibrata AML-C10","Illumina HiSeq 2000","JGI","SRP079384","Methylosarcina fibrata AML-C10 Genome sequencing and assembly","SRS1580007","","2355.01","1","12518166","3755449800","INSX","WGS","GENOMIC","RANDOM"
"SRX1971194","Methylovulum miyakonense HT12","Methylovulum miyakonense HT12","Illumina HiSeq 2000","JGI","SRP079383","Methylovulum miyakonense HT12 Genome sequencing and assembly","SRS1580006","","2891.65","1","15090428","4527128400","IGBX","WGS","GENOMIC","size fractionation"
"SRX1971193","Methylovulum miyakonense HT12","Methylovulum miyakonense HT12","Illumina HiSeq 2000","JGI","SRP079383","Methylovulum miyakonense HT12 Genome sequencing and assembly","SRS1580006","","1329.72","1","6778590","2033577000","IGBB","WGS","GENOMIC","RANDOM"
"SRX1971192","Methylovulum miyakonense HT12","Methylovulum miyakonense HT12","Illumina HiSeq 2000","JGI","SRP079383","Methylovulum miyakonense HT12 Genome sequencing and assembly","SRS1580006","","144.83","1","759453","227835900","IGBB","WGS","GENOMIC","RANDOM"
"SRX1967270","Methylomonas sp. 11b","Methylomonas sp. 11b","Illumina HiSeq 2000","JGI","SRP079070","Methylomonas sp. 11b Genome sequencing and assembly","SRS1576813","","1383.04","1","7070517","2121155100","IIOX","WGS","GENOMIC","RANDOM"
"SRX1967269","Methylomonas sp. 11b","Methylomonas sp. 11b","Illumina HiSeq 2000","JGI","SRP079070","Methylomonas sp. 11b Genome sequencing and assembly","SRS1576813","","1657.22","1","13296774","2659354800","IIXY","WGS","GENOMIC","size fractionation"
"SRX1963607","Methylosarcina lacus LW14","Methylomicrobium lacus LW14","Illumina HiSeq 2000","JGI","SRP079051","Methylosarcina lacus LW14 Genome sequencing and assembly","SRS1573175","","1501.97","1","7741084","2322325200","IIXP","WGS","GENOMIC","RANDOM"
"SRX1963606","Methylosarcina lacus LW14","Methylomicrobium lacus LW14","Illumina HiSeq 2000","JGI","SRP079051","Methylosarcina lacus LW14 Genome sequencing and assembly","SRS1573175","","1296.17","1","10455193","2091038600","INTT","WGS","GENOMIC","size fractionation"
"SRX1953015","Methylomicrobium buryatense 5G","Methylotuvimicrobium buryatense 5G","Illumina HiSeq 2000","JGI","SRP003721","Methylomicrobium buryatense 5G strain:5G Genome sequencing and assembly","SRS1566633","","2863.95","1","15139328","4541798400","IGII","WGS","GENOMIC","size fractionation"
"SRX1953014","Methylomicrobium buryatense 5G","Methylotuvimicrobium buryatense 5G","Illumina HiSeq 2000","JGI","SRP003721","Methylomicrobium buryatense 5G strain:5G Genome sequencing and assembly","SRS1566633","","2440.31","1","12650285","3795085500","IGHX","WGS","GENOMIC","RANDOM"
"SRX1953013","Methylobacter marinus A45","Methylobacter marinus A45","Illumina HiSeq 2000","JGI","SRP003729","Methylobacter marinus A45 Genome sequencing and assembly","SRS1566632","","2095.71","1","10710925","3213277500","INFZ","WGS","GENOMIC","RANDOM"
"SRX1953012","Methylobacter marinus A45","Methylobacter marinus A45","Illumina HiSeq 2000","JGI","SRP003729","Methylobacter marinus A45 Genome sequencing and assembly","SRS1566632","","2679.71","1","14035775","4210732500","IFUI","WGS","GENOMIC","size fractionation"
"SRX1953011","Methylobacter tundripaludum SV96","Methylobacter tundripaludum SV96","Illumina Genome Analyzer II","JGI","SRP002716","Methylobacter tundripaludum SV96 genome sequencing project","SRS107395","","1234.04","1","20723037","3149901624","GUHU","WGS","GENOMIC","RANDOM"
"SRX1952979","Methylomonas methanica MC09","Methylomonas methanica MC09","Illumina Genome Analyzer IIx","JGI","SRP004125",": Complete genome sequence of the aerobic marine methanotroph Methylomonas methanica MC09","SRS258465","","3157.86","1","37088543","5637458536","HTYA","WGS","GENOMIC","RANDOM"
"SRX1950968","Methylomicrobium album BG8","Methylomicrobium album BG8","Illumina Genome Analyzer II","JGI","SRP006632","Methylomicrobium album BG8 genome sequencing project","SRS1565300","","147.43","1","11207687","403476732","GATZ","WGS","GENOMIC","RANDOM"
"SRX1950967","Methylomicrobium album BG8","Methylomicrobium album BG8","Illumina Genome Analyzer II","JGI","SRP006632","Methylomicrobium album BG8 genome sequencing project","SRS1565300","","144.47","1","11305409","406994724","GATZ","WGS","GENOMIC","RANDOM"
"SRX1950966","Methylomicrobium album BG8","Methylomicrobium album BG8","Illumina Genome Analyzer II","JGI","SRP006632","Methylomicrobium album BG8 genome sequencing project","SRS1565300","","49.61","1","4717995","169847820","GATZ","WGS","GENOMIC","RANDOM"
"SRX1950965","Methylomicrobium album BG8","Methylomicrobium album BG8","Illumina Genome Analyzer II","JGI","SRP006632","Methylomicrobium album BG8 genome sequencing project","SRS1565300","","26.55","1","2418131","87052716","GATZ","WGS","GENOMIC","RANDOM"
"SRX1922169","Methylobacter tundripaludum 31/32","Methylobacter tundripaludum 31/32","PacBio RS","JGI","SRP078187","Methylobacter tundripaludum 31/32 Genome sequencing and assembly","SRS1551617","","225.74","1","150590","330001820","TAGH","WGS","GENOMIC","RANDOM"
"SRX1922168","Methylobacter tundripaludum 31/32","Methylobacter tundripaludum 31/32","PacBio RS","JGI","SRP078187","Methylobacter tundripaludum 31/32 Genome sequencing and assembly","SRS1551617","","219.7","1","139290","324088193","TAGH","WGS","GENOMIC","RANDOM"
"SRX1922167","Methylobacter tundripaludum 31/32","Methylobacter tundripaludum 31/32","PacBio RS","JGI","SRP078187","Methylobacter tundripaludum 31/32 Genome sequencing and assembly","SRS1551617","","2.21","1","1466","3157261","TAGH","WGS","GENOMIC","RANDOM"
"SRX1922166","Methylobacter tundripaludum 31/32","Methylobacter tundripaludum 31/32","PacBio RS","JGI","SRP078187","Methylobacter tundripaludum 31/32 Genome sequencing and assembly","SRS1551617","","2.05","1","1321","2897171","TAGH","WGS","GENOMIC","RANDOM"
"SRX1922165","Methylobacter tundripaludum 21/22","Methylobacter tundripaludum 21/22","PacBio RS","JGI","SRP078186","Methylobacter tundripaludum 21/22 Genome sequencing and assembly","SRS1551616","","104.09","1","57835","153191958","TAGG","WGS","GENOMIC","RANDOM"
"SRX1922164","Methylobacter tundripaludum 21/22","Methylobacter tundripaludum 21/22","PacBio RS","JGI","SRP078186","Methylobacter tundripaludum 21/22 Genome sequencing and assembly","SRS1551616","","116.31","1","65503","170766800","TAGG","WGS","GENOMIC","RANDOM"
"SRX1922163","Methylobacter tundripaludum 21/22","Methylobacter tundripaludum 21/22","PacBio RS","JGI","SRP078186","Methylobacter tundripaludum 21/22 Genome sequencing and assembly","SRS1551616","","134.4","1","70157","197873031","TAGG","WGS","GENOMIC","RANDOM"
"SRX1922162","Methylobacter tundripaludum 21/22","Methylobacter tundripaludum 21/22","PacBio RS","JGI","SRP078186","Methylobacter tundripaludum 21/22 Genome sequencing and assembly","SRS1551616","","38.15","1","21460","56628178","TAGG","WGS","GENOMIC","RANDOM"
"SRX1922161","Methylobacter tundripaludum 21/22","Methylobacter tundripaludum 21/22","PacBio RS","JGI","SRP078186","Methylobacter tundripaludum 21/22 Genome sequencing and assembly","SRS1551616","","37.73","1","20949","55950288","TAGG","WGS","GENOMIC","RANDOM"
"SRX1904182","Methylomarinum vadi IT-4","Methylomarinum vadi","PacBio RS","JGI","SRP078085","Methylomarinum vadi strain:IT-4 Genome sequencing and assembly","SRS1546179","","287.71","1","134595","421810499","OPXU","WGS","GENOMIC","RANDOM"
"SRX1904181","Methylomarinum vadi IT-4","Methylomarinum vadi","PacBio RS","JGI","SRP078085","Methylomarinum vadi strain:IT-4 Genome sequencing and assembly","SRS1546179","","254.73","1","128968","373816546","OPXU","WGS","GENOMIC","RANDOM"
"SRX1904180","Methylomarinum vadi IT-4","Methylomarinum vadi","PacBio RS","JGI","SRP078085","Methylomarinum vadi strain:IT-4 Genome sequencing and assembly","SRS1546179","","112.46","1","62235","162670698","OPXU","WGS","GENOMIC","RANDOM"
"SRX1904179","Methylomarinum vadi IT-4","Methylomarinum vadi","PacBio RS","JGI","SRP078085","Methylomarinum vadi strain:IT-4 Genome sequencing and assembly","SRS1546179","","131.09","1","66552","190085172","OPXU","WGS","GENOMIC","RANDOM"
"SRX1881118","Methylomicrobium agile ATCC 35068","Methylomicrobium agile","PacBio RS","JGI","SRP077365","Methylomicrobium agile strain:ATCC 35068 Genome sequencing and assembly","SRS1527807","","250.42","1","132904","366937521","OCAT","WGS","GENOMIC","RANDOM"
"SRX1881117","Methylomicrobium agile ATCC 35068","Methylomicrobium agile","PacBio RS","JGI","SRP077365","Methylomicrobium agile strain:ATCC 35068 Genome sequencing and assembly","SRS1527807","","267.56","1","137612","391610776","OCAT","WGS","GENOMIC","RANDOM"
"SRX1880050","Methylobacter whittenburyi ACM 3310","Methylobacter whittenburyi","PacBio RS","JGI","SRP077292","Methylobacter whittenburyi strain:ACM 3310 Genome sequencing","SRS1527079","","259.01","1","184232","377599161","OCAG","WGS","GENOMIC","RANDOM"
"SRX1880049","Methylobacter whittenburyi ACM 3310","Methylobacter whittenburyi","PacBio RS","JGI","SRP077292","Methylobacter whittenburyi strain:ACM 3310 Genome sequencing","SRS1527079","","282.46","1","192285","411597513","OCAG","WGS","GENOMIC","RANDOM"
"SRX1759155","Methylomonas sp. LW13","Methylomonas sp. LW13","Illumina HiSeq 2000","JGI","SRP074995","Methylomonas sp. LW13 Genome sequencing","SRS1435278","","3209.12","1","36492508","5473876200","PGGP","WGS","GENOMIC","RANDOM"
"SRX1125334","Metano Oxidação","Methylocaldum","Illumina MiSeq","Federal University of Minas Gerais","SRP049924","Sludge Reator UASB and biomass from sequencing batch reactor","SRS1017501","","332.09","3","1701542","511955460","Miseq Illumina","RNA-Seq","METAGENOMIC","PCR"
"SRX696231","Transcriptome analysis of Methylomonas denitrificans cultivated in two different nitrogen sources over time","Methylomonas denitrificans","Illumina HiSeq 2000","University of Alberta","SRP046367","Methylomonas denitrificans strain:FJG1 Genome sequencing","SRS697326","","4615.55","8","69211313","6990342613","","RNA-Seq","TRANSCRIPTOMIC","unspecified"
"DRX015989","Whole genome analysis of Methylococcus sp. JCM16910","Methylogaea oryzae JCM 16910","Ion Torrent PGM","UT_COB","DRP002043","Genome sequencing of Methylogaea oryzae JCM 16910","DRS015479","","225.07","1","386484","84109221","","WGS","GENOMIC","RANDOM"
"DRX015987","Whole genome analysis of Methylomonas koyamae JCM16701","Methylomonas koyamae JCM 16701","Ion Torrent PGM","UT_COB","DRP002041","Genome sequencing of Methylomonas koyamae JCM 16701","DRS015477","","315.25","1","544067","118215264","","WGS","GENOMIC","RANDOM"
"SRX546165","Pyrosequencing of samples of heavy fractions from SIP experiment","Methylomicrobium lacus","454 GS FLX+","China Agricultural University","SRP042070","Rice field soil Targeted Locus (Loci)","SRS613212","","460.51","1","179338","214172880","SIP/454_16s","AMPLICON","OTHER","PCR"
"SRX360100","GSM1239663: Bioreactor grown on methane 20%CH4:5%O2:75%N2, biological replicate 2; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487848","","1873.77","1","89644675","3227208300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360099","GSM1239662: Bioreactor grown on methane 20%CH4:5%O2:75%N2, biological replicate 1; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487847","","2799.92","1","127467714","4588837704","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360098","GSM1239661: Bioreactor grown on methane 20%CH4: 20%O2: 60N2, biological replicate 2; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487846","","2183.71","1","103699796","3733192656","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360097","GSM1239660: Bioreactor grown on methane 20%CH4: 20%O2: 60N2, biological replicate 1; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487845","","2934.24","1","138146066","4973258376","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360096","GSM1239659: Batch growth on methane, biological replicate 4; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487844","","4477.31","1","177325812","6383729232","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360095","GSM1239658: Batch growth on methane, biological replicate 3; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487843","","5320.31","1","210624823","7582493628","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360094","GSM1239657: Batch growth on methane, biological replicate 2; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487842","","4951.29","1","209544359","7543596924","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX360093","GSM1239656: Batch growth on methane, biological replicate 1; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP030410","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium","SRS487841","","4977.31","1","207188282","7458778152","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX298829","","Methylomonas sp. MK1","Illumina HiSeq 2000","JGI","SRP024784","Methylomonas sp. MK1 project","SRS438781","","4584.46","1","35940630","7188126000","CWWZ","WGS","GENOMIC","RANDOM"
"SRX298828","","Methylomonas sp. MK1","Illumina HiSeq 2000","JGI","SRP024784","Methylomonas sp. MK1 project","SRS438781","","2456.9","1","12892471","3867741300","GNGS","WGS","GENOMIC","RANDOM"
"SRX298622","","Methylococcus capsulatus str. Texas = ATCC 19069","Illumina HiSeq 2000","JGI","SRP024619","Methylococcus capsulatus str. Texas = ATCC 19069 Genome sequencing and assembly","SRS438624","","3012.79","1","16265594","4879678200","HGWX","WGS","GENOMIC","RANDOM"
"SRX298532","","Methylohalobius crimeensis 10Ki","Illumina HiSeq 2000","JGI","SRP024555","Methylohalobius crimeensis 10Ki Genome sequencing and assembly","SRS438572","","3637.65","1","19021379","5706413700","HNBP","WGS","GENOMIC","RANDOM"
